code,dataset,field,code_type,description,group,subgroup,flag1,flag2
S00,hes_apc,diag,icd10,superficial injury of head,injuries,injuries,emergency_admission,first_episode_only
S01,hes_apc,diag,icd10,open wound of head,injuries,injuries,emergency_admission,first_episode_only
S02,hes_apc,diag,icd10,fracture of skull and facial bones,injuries,injuries,emergency_admission,first_episode_only
S03,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of head,injuries,injuries,emergency_admission,first_episode_only
S04,hes_apc,diag,icd10,injury of cranial nerves,injuries,injuries,emergency_admission,first_episode_only
S05,hes_apc,diag,icd10,injury of eye and orbit,injuries,injuries,emergency_admission,first_episode_only
S06,hes_apc,diag,icd10,intracranial injury,injuries,injuries,emergency_admission,first_episode_only
S07,hes_apc,diag,icd10,crushing injury of head,injuries,injuries,emergency_admission,first_episode_only
S08,hes_apc,diag,icd10,traumatic amputation of part of head,injuries,injuries,emergency_admission,first_episode_only
S09,hes_apc,diag,icd10,other and unspecified injuries of head,injuries,injuries,emergency_admission,first_episode_only
S10,hes_apc,diag,icd10,superficial injury of neck,injuries,injuries,emergency_admission,first_episode_only
S11,hes_apc,diag,icd10,open wound of neck,injuries,injuries,emergency_admission,first_episode_only
S12,hes_apc,diag,icd10,fracture of neck,injuries,injuries,emergency_admission,first_episode_only
S13,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments at neck level,injuries,injuries,emergency_admission,first_episode_only
S14,hes_apc,diag,icd10,injury of nerves and spinal cord at neck level,injuries,injuries,emergency_admission,first_episode_only
S15,hes_apc,diag,icd10,injury of blood vessels at neck level,injuries,injuries,emergency_admission,first_episode_only
S16,hes_apc,diag,icd10,injury of muscle and tendon at neck level,injuries,injuries,emergency_admission,first_episode_only
S17,hes_apc,diag,icd10,crushing injury of neck,injuries,injuries,emergency_admission,first_episode_only
S18,hes_apc,diag,icd10,traumatic amputation at neck level,injuries,injuries,emergency_admission,first_episode_only
S19,hes_apc,diag,icd10,other and unspecified injuries of neck,injuries,injuries,emergency_admission,first_episode_only
S20,hes_apc,diag,icd10,superficial injury of thorax,injuries,injuries,emergency_admission,first_episode_only
S21,hes_apc,diag,icd10,open wound of thorax,injuries,injuries,emergency_admission,first_episode_only
S22,hes_apc,diag,icd10,fracture of rib(s) sternum and thoracic spine,injuries,injuries,emergency_admission,first_episode_only
S23,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of thorax,injuries,injuries,emergency_admission,first_episode_only
S24,hes_apc,diag,icd10,injury of nerves and spinal cord at thorax level,injuries,injuries,emergency_admission,first_episode_only
S25,hes_apc,diag,icd10,injury of blood vessels of thorax,injuries,injuries,emergency_admission,first_episode_only
S26,hes_apc,diag,icd10,injury of heart,injuries,injuries,emergency_admission,first_episode_only
S27,hes_apc,diag,icd10,injury of other and unspecified intrathoracic organs,injuries,injuries,emergency_admission,first_episode_only
S28,hes_apc,diag,icd10,crushing injury of thorax and traumatic amputation of part of thorax,injuries,injuries,emergency_admission,first_episode_only
S29,hes_apc,diag,icd10,other and unspecified injuries of thorax,injuries,injuries,emergency_admission,first_episode_only
S30,hes_apc,diag,icd10,superficial injury of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S31,hes_apc,diag,icd10,open wound of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S32,hes_apc,diag,icd10,fracture of lumbar spine and pelvis,injuries,injuries,emergency_admission,first_episode_only
S33,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of lumbar spine and pelvis,injuries,injuries,emergency_admission,first_episode_only
S34,hes_apc,diag,icd10,injury of nerves and lumbar spinal cord at abdomen lower back and pelvis level,injuries,injuries,emergency_admission,first_episode_only
S35,hes_apc,diag,icd10,injury of blood vessels at abdomen lower back and pelvis level,injuries,injuries,emergency_admission,first_episode_only
S36,hes_apc,diag,icd10,injury of intra-abdominal organs,injuries,injuries,emergency_admission,first_episode_only
S37,hes_apc,diag,icd10,injury of urinary and pelvic organs,injuries,injuries,emergency_admission,first_episode_only
S38,hes_apc,diag,icd10,crushing injury and traumatic amputation of part of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S39,hes_apc,diag,icd10,other and unspecified injuries of abdomen lower back and pelvis,injuries,injuries,emergency_admission,first_episode_only
S40,hes_apc,diag,icd10,superficial injury of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S41,hes_apc,diag,icd10,open wound of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S42,hes_apc,diag,icd10,fracture of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S43,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of shoulder girdle,injuries,injuries,emergency_admission,first_episode_only
S44,hes_apc,diag,icd10,injury of nerves at shoulder and upper arm level,injuries,injuries,emergency_admission,first_episode_only
S45,hes_apc,diag,icd10,injury of blood vessels at shoulder and upper arm level,injuries,injuries,emergency_admission,first_episode_only
S46,hes_apc,diag,icd10,injury of muscle and tendon at shoulder and upper arm level,injuries,injuries,emergency_admission,first_episode_only
S47,hes_apc,diag,icd10,crushing injury of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S48,hes_apc,diag,icd10,traumatic amputation of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S49,hes_apc,diag,icd10,other and unspecified injuries of shoulder and upper arm,injuries,injuries,emergency_admission,first_episode_only
S50,hes_apc,diag,icd10,superficial injury of forearm,injuries,injuries,emergency_admission,first_episode_only
S51,hes_apc,diag,icd10,open wound of forearm,injuries,injuries,emergency_admission,first_episode_only
S52,hes_apc,diag,icd10,fracture of forearm,injuries,injuries,emergency_admission,first_episode_only
S53,hes_apc,diag,icd10,dislocation sprain and strain of joints and ligaments of elbow,injuries,injuries,emergency_admission,first_episode_only
S54,hes_apc,diag,icd10,injury of nerves at forearm level,injuries,injuries,emergency_admission,first_episode_only
S55,hes_apc,diag,icd10,injury of blood vessels at forearm level,injuries,injuries,emergency_admission,first_episode_only
