code,dataset,field,code_type,description,group,subgroup,flag
C00,hes_apc,diag,icd10,malignant neoplasm of lip,cancer/blood,neoplasms,
C01,hes_apc,diag,icd10,malignant neoplasm of base of tongue,cancer/blood,neoplasms,
C02,hes_apc,diag,icd10,malignant neoplasm of other and unspecified parts of tongue,cancer/blood,neoplasms,
C03,hes_apc,diag,icd10,malignant neoplasm of gum,cancer/blood,neoplasms,
C04,hes_apc,diag,icd10,malignant neoplasm of floor of mouth,cancer/blood,neoplasms,
C05,hes_apc,diag,icd10,malignant neoplasm of palate,cancer/blood,neoplasms,
C06,hes_apc,diag,icd10,malignant neoplasm of other and unspecified parts of mouth,cancer/blood,neoplasms,
C07,hes_apc,diag,icd10,malignant neoplasm of parotid gland,cancer/blood,neoplasms,
C08,hes_apc,diag,icd10,malignant neoplasm of other and unspecified major salivary glands,cancer/blood,neoplasms,
C09,hes_apc,diag,icd10,malignant neoplasm of tonsil,cancer/blood,neoplasms,
C10,hes_apc,diag,icd10,malignant neoplasm of oropharynx,cancer/blood,neoplasms,
C11,hes_apc,diag,icd10,malignant neoplasm of nasopharynx,cancer/blood,neoplasms,
C12,hes_apc,diag,icd10,malignant neoplasm of piriform sinus,cancer/blood,neoplasms,
C13,hes_apc,diag,icd10,malignant neoplasm of hypopharynx,cancer/blood,neoplasms,
C14,hes_apc,diag,icd10,malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx,cancer/blood,neoplasms,
C15,hes_apc,diag,icd10,malignant neoplasm of oesophagus,cancer/blood,neoplasms,
C16,hes_apc,diag,icd10,malignant neoplasm of stomach,cancer/blood,neoplasms,
C17,hes_apc,diag,icd10,malignant neoplasm of small intestine,cancer/blood,neoplasms,
C18,hes_apc,diag,icd10,malignant neoplasm of colon,cancer/blood,neoplasms,
C19,hes_apc,diag,icd10,malignant neoplasm of rectosigmoid junction,cancer/blood,neoplasms,
C20,hes_apc,diag,icd10,malignant neoplasm of rectum,cancer/blood,neoplasms,
C21,hes_apc,diag,icd10,malignant neoplasm of anus and anal canal,cancer/blood,neoplasms,
C22,hes_apc,diag,icd10,malignant neoplasm of liver and intrahepatic bile ducts,cancer/blood,neoplasms,
C23,hes_apc,diag,icd10,malignant neoplasm of gallbladder,cancer/blood,neoplasms,
C24,hes_apc,diag,icd10,malignant neoplasm of other and unspecified parts of biliary tract,cancer/blood,neoplasms,
C25,hes_apc,diag,icd10,malignant neoplasm of pancreas,cancer/blood,neoplasms,
C26,hes_apc,diag,icd10,malignant neoplasm of other and ill-defined digestive organs,cancer/blood,neoplasms,
C30,hes_apc,diag,icd10,malignant neoplasm of nasal cavity and middle ear,cancer/blood,neoplasms,
C31,hes_apc,diag,icd10,malignant neoplasm of accessory sinuses,cancer/blood,neoplasms,
C32,hes_apc,diag,icd10,malignant neoplasm of larynx,cancer/blood,neoplasms,
C33,hes_apc,diag,icd10,malignant neoplasm of trachea,cancer/blood,neoplasms,
C34,hes_apc,diag,icd10,malignant neoplasm of bronchus and lung,cancer/blood,neoplasms,
C37,hes_apc,diag,icd10,malignant neoplasm of thymus,cancer/blood,neoplasms,
C38,hes_apc,diag,icd10,malignant neoplasm of heart mediastinum and pleura,cancer/blood,neoplasms,
